RatingDescription,UserRatingScore,Year,Name
D,D,2004,"  White Chicks"
B,A,2016,"  Grey's Anatomy"
B,A,2008,"  Prison Break"
D,B,2014,"  How I Met Your Mother"
B,A,2016,"  Supernatural"
S,A,2013,"  Breaking Bad"
A,A,2017,"  The Vampire Diaries"
S,A,2015,"  The Walking Dead"
B,A,2016,"  Pretty Little Liars"
D,A,2016,"  Once Upon a Time"
B,A,2016,"  Sherlock"
B,C,2006,"  Death Note"
D,B,2008,"  Naruto"
S,B,2011,"  The Hunter"
B,A,2015,"  Arrow"
S,C,2016,"  Black Mirror"
S,C,2016,"  The Originals"
S,A,2016,"  The 100"
F,C,2013,"  Masha and the Bear"
S,C,2013,"  Nymphomaniac"
S,A,2013,"  Hunter X Hunter"
S,A,2016,"  Marvel's Luke Cage"
S,A,2017,"  Marvel's Iron Fist"
S,A,2016,"  Narcos"
D,A,2016,"  The Flash"
A,C,2016,"  The Seven Deadly Sins"
A,B,2016,"  Scream"
S,B,2016,"  The Do-Over"
F,B,2016,"  Trollhunters"
S,B,2017,"  Santa Clarita Diet"
S,B,2014,"  Sex, Love and Therapy"
S,A,2017,"  Bruse Tarl, Boorish HeGirlbossrder"
S,B,2013,"  City of God"
S,A,2017,"  13 Reasons Why"
S,B,2017,"  Sand Castle"
S,B,2016,"  Salvador Martinha"
A,A,2017,"  Sandy Wexler"
S,B,2016,"  Stronger Than the World"
A,C,2015,"  Happily Married"
S,A,2016,"  Pandora"
A,A,2012,"  The Office"
B,A,2008,"  Prison Break"
S,A,2015,"  Family Guy"
B,C,2011,"  Mean Girls"
B,C,2013,"  The Secret Life of the American Teenager"
B,B,2005,"  That '70s Show"
A,A,2006,"  Gilmore Girls"
A,D,2015,"  Parenthood"
C,B,2016,"  Heartland"
B,A,2016,"  Pretty Little Liars"
S,A,2016,"  Shameless"
B,C,2015,"  Switched at Birth"
A,A,2016,"  New Girl"
D,C,2014,"  Hart of Dixie"
B,B,2013,"  The Client List"
B,C,2013,"  The Carrie Diaries"
C,F,2013,"  Safe Haven"
B,C,2016,"  Baby Daddy"
B,B,2015,"  The Night Shift"
B,C,2015,"  Reign"
S,B,2017,"  Grace and Frankie"
B,A,2016,"  How to Get Away with Murder"
D,B,2016,"  Fuller House"
C,B,2016,"  Finding Dory"
B,C,2016,"  Gilmore Girls: A Year in the Life"
B,B,2016,"  Gabriel lglesias: Im Sorry For What I Said When I Was Hungry"
S,D,2017,"  Amy Schumer: The Leather Special"
D,F,2016,"  Cheer Squad"
S,B,2017,"  Dave Chappelle"
F,C,2006,"  High School Musical"
F,F,2006,"  High School Musical 2"
F,D,2006,"  Hannah Montana: The Movie"
B,A,2016,"  Bones"
B,A,2015,"  Law & Order: Special Victims Unit"
B,A,2008,"  Prison Break"
S,B,2015,"  Nurse Jackie"
B,A,2016,"  NCIS"
B,A,2012,"  Gossip Girl"
A,A,2015,"  Parks and Recreation"
C,A,2015,"  Glee"
A,A,2017,"  The Vampire Diaries"
B,A,2006,"  Friends"
B,B,2011,"  One Tree Hill"
B,D,2013,"  Army Wives"
B,C,2012,"  Private Practice"
C,B,2014,"  Parenthood"
S,A,2016,"  New Girl"
D,C,2015,"  Revenge"
B,B,2016,"  Scandal"
A,C,2012,"  Magic Mike"
C,F,2012,"  Trouble with the Curve"
S,A,2016,"  Orange Is the New Black"
B,C,2016,"  Baby Daddy"
B,C,2016,"  The Originals"
F,C,2015,"  Home"
B,A,2016,"  How to Get Away with Murder"
D,A,2016,"  Zootopia"
S,A,2016,"  Sausage Party"
A,D,2016,"  Skin Wars"
S,B,2017,"  Felipe Neto: My Life Makes No Sense"
B,A,2010,"  Lost"
S,C,2012,"  Weeds"
S,C,2010,"  The Tudors"
B,B,2010,"  Lie to Me"
C,D,2014,"  Drop Dead Diva"
D,B,2006,"  Charmed"
D,B,2014,"  White Collar"
S,B,2016,"  House of Cards"
B,C,2014,"  The Killing"
D,C,2014,"  Hart of Dixie"
C,A,2016,"  Once Upon a Time"
B,B,2013,"  The Client List"
B,C,2012,"  Unconditional"
B,C,2016,"  Bates Motel"
A,C,2016,"  The Fosters"
A,C,2014,"  Witches of East End"
S,C,2016,"  Bitten"
S,A,2016,"  London Has Fallen"
S,C,2015,"  Marvel's Jessica Jones"
S,C,2016,"  Bloodline"
B,C,2016,"  Velvet"
S,C,2017,"  The Crown"
A,A,2016,"  Jane The Virgin"
B,C,2014,"  Kurt Seyit & Sura"
B,C,2015,"  The Returned"
S,C,2015,"  The Girl in the Book"
C,C,2016,"  Quantico"
B,D,2015,"  Life in Pieces"
S,A,2017,"  Ingobernable"
